date,author_code,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2009-12-08,1,1,661,0,538.0,125.0,3228.0,0.6447963800904978,0.7375565610859729,0.5701357466063348
2009-12-09,1,2,448,325,1235.0,317.0,7913.0,0.4430379746835443,0.759493670886076,1.0
2009-12-09,2,2,60,39,1264.0,326.0,8178.0,0.75,1.0,0.85
2009-12-10,2,3,273,51,2072.0,531.0,13301.0,0.8055555555555556,0.5833333333333333,0.8055555555555556
2009-12-11,2,9,427,215,3985.0,984.0,24872.0,1.0,0.5,0.5886363636363636
2009-12-12,3,2,29,0,693.0,178.0,4377.0,1.0,1.0,1.0
2009-12-14,2,10,381,173,6099.0,1505.0,38543.0,0.2758620689655172,1.0,0.8
2009-12-15,2,12,197,101,4494.0,1125.0,28280.0,1.0,1.0,0.0
2009-12-17,2,4,337,37,1012.0,254.0,6610.0,0.5154639175257731,0.6907216494845361,0.4948453608247423
2009-12-18,3,11,327,138,4793.0,1183.0,30320.0,1.0,1.0,1.0
2009-12-19,3,4,14,6,3004.0,755.0,19846.0,0.5,0.5,1.0
2009-12-20,3,5,1114,478,3908.0,972.0,26465.0,0.0,0.9090909090909092,1.0
2009-12-26,3,2,682,986,1285.0,294.0,8396.0,0.5296167247386759,0.3344947735191638,0.289198606271777
2010-01-01,3,1,49,27,1040.0,269.0,7552.0,1.0,1.0,1.0
2010-01-01,4,1,49,6,368.0,76.0,2791.0,0.5833333333333334,1.0,0.7083333333333334
2010-01-02,3,10,498,414,4713.0,1005.0,32003.0,0.0,0.0,0.5882352941176471
2010-01-03,3,4,474,162,1480.0,344.0,10860.0,1.0,1.0,1.0
2010-01-06,3,5,66,13,2281.0,559.0,16275.0,0.5,1.0,0.75
2010-01-07,3,1,22,20,831.0,190.0,5969.0,1.0,1.0,0.5
2010-01-09,3,3,578,147,2188.0,514.0,15226.0,0.25,0.75,0.0
2010-01-11,3,1,55,4,168.0,18.0,1234.0,0.2,0.0,1.0
2010-01-25,3,1,2,1,148.0,18.0,1163.0,,,
2010-01-27,3,1,1,1,30.0,0.0,105.0,,,
2010-01-29,3,3,70,74,321.0,65.0,1428.0,1.0,1.0,0.0
2010-01-30,3,1,81,65,213.0,69.0,1573.0,1.0,1.0,0.875
2010-01-31,3,1,21,20,0.0,0.0,0.0,,,
2010-02-03,2,3,21,15,1104.0,241.0,7509.0,1.0,0.0,1.0
2010-02-04,2,2,199,1,0.0,0.0,0.0,,,
2010-02-05,2,6,1150,1217,4500.0,1021.0,28570.0,0.7894736842105263,0.9210526315789472,0.631578947368421
2010-02-08,2,5,241,242,948.0,196.0,5436.0,1.0,1.0,1.0
2010-02-09,2,2,29,27,228.0,44.0,1001.0,0.75,1.0,1.0
2010-02-16,2,1,38,7,883.0,181.0,5006.0,,,
2010-02-17,3,1,0,0,0.0,0.0,0.0,,,
2010-02-18,3,7,162,35,339.0,70.0,2141.0,,,
2010-02-26,2,2,167,173,771.0,154.0,4480.0,1.0,0.0,0.0
2010-02-27,2,5,39,32,1661.0,337.0,8589.0,0.0,0.0,0.0
2010-03-01,2,2,8,8,479.0,100.0,2688.0,,,
2010-03-03,2,6,245,199,1543.0,303.0,9112.0,0.0,0.6428571428571428,0.9285714285714286
2010-03-04,2,6,184,150,1131.0,205.0,6826.0,1.0,0.5263157894736842,0.9473684210526316
2010-03-04,3,7,134,52,1227.0,253.0,6062.0,1.0,1.0,1.0
2010-03-05,2,12,186,95,1937.0,379.0,11374.0,0.0,0.0,1.0
2010-03-05,3,3,43,40,1045.0,210.0,5716.0,,,
2010-03-08,2,3,230,194,1607.0,327.0,9592.0,0.4117647058823529,0.0,0.8235294117647058
2010-03-09,2,7,175,133,1608.0,322.0,9453.0,1.0,1.0,0.0
2010-03-09,3,4,58,42,0.0,0.0,0.0,,,
2010-03-10,3,1,1,1,397.0,86.0,2505.0,,,
2010-03-11,2,4,26,29,422.0,85.0,2595.0,0.0,0.0,0.0
2010-03-12,2,9,29,35,742.0,160.0,4232.0,0.0,0.0,0.0
2010-03-12,3,5,59,43,397.0,86.0,2505.0,,,
2010-03-13,2,4,151,35,1570.0,362.0,9542.0,0.34375,0.4375,0.15625
2010-03-13,3,6,125,4,2598.0,567.0,14858.0,1.0,1.0,1.0
2010-03-14,2,7,89,87,480.0,83.0,2358.0,0.0,0.0,0.0
2010-03-14,3,5,107,11,1841.0,386.0,10728.0,0.3636363636363636,0.3636363636363636,1.0
2010-03-15,2,2,9,7,1314.0,283.0,7887.0,,,
