year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2019-03,531,12006,2191,435.0,28.0,2178.0,0.0410396716826265,0.5581395348837209,1.0
2019-04,1000,12846,22386,617.0,76.0,3379.0,0.6527955609288834,0.3259159459341978,0.1729323308270676
2019-05,67,465,417,0.0,0.0,0.0,0.0,0.0,0.0
2019-06,10,24,6,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,24,33,19,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,25,96,19,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,6,7,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,1,5,5,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,5,3,1,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,1,8,8,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-04,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,4,91,15,0.0,0.0,0.0,0.0,0.0,0.0
2020-08,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,10,52,105,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,15,14,7,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,8,8,2,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,9,9,7,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,2,7,7,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,2,102,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01,26,19660,61,676.0,74.0,3789.0,0.379576107899808,0.8150289017341069,1.0
