year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2016-07,23,845,284,803.0,186.0,4815.0,0.65625,0.84375,0.8877840909090909
2016-08,42,54049,476,1727.0,371.0,9842.0,0.4973932346455421,0.4441285709572863,0.7039879114644377
2016-09,14,236406,53,1046.0,205.0,6446.0,0.6651100358561439,0.8678695259808112,0.8817148760330579
2016-10,14,266,32,504.0,109.0,2807.0,0.9230769230769232,0.7692307692307693,0.7607248520710059
2016-11,5,137,21,153.0,47.0,965.0,1.0,0.6666666666666666,1.0
2016-12,9,253,116,123.0,36.0,619.0,0.8379629629629629,0.353095238095238,0.75
2017-01,7,88,9,151.0,40.0,1129.0,0.6,0.4,0.8
2017-02,10,359,117,111.0,18.0,735.0,0.2528735632183908,0.6666666666666666,0.3333333333333333
2017-03,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04,10,170,78,415.0,108.0,2547.0,0.3333333333333333,0.1318407960199004,0.5
2017-05,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06,17,567,67,800.0,218.0,4837.0,0.6815384615384615,0.6307692307692307,0.7579905808477237
2017-07,19,955,212,1378.0,401.0,9052.0,0.5268434724317077,0.4930827886710239,0.6574074074074073
2017-08,12,540,40,618.0,133.0,5344.0,0.4372603586889301,0.54428983714698,0.7115363932134118
2017-09,16,1022,148,1150.0,224.0,9634.0,0.7018314393311473,0.6655102793955823,0.6892348604811367
2017-10,78,299503,999,9304.0,2246.0,62347.0,0.6447838978558961,0.6643140796287225,0.6871632376383544
2017-11,30,1962,812,6651.0,1503.0,44676.0,0.1300786369593709,0.9547259270680748,0.1297268907563025
2017-12,10,425,117,694.0,233.0,4725.0,0.6,0.6250677506775068,0.2852616218469876
2018-01,15,315,103,730.0,165.0,4091.0,0.775,0.9178571428571428,0.775
2018-02,8,189,2,190.0,42.0,1282.0,0.6933333333333334,0.6933333333333334,0.8724908424908424
2018-03,43,1850,30,2208.0,530.0,14963.0,0.8278528518040275,0.7243394849462773,0.6807971619815969
2018-04,17,840,61,1106.0,101.0,14518.0,0.3646616541353383,0.4545454545454545,0.5119617224880383
2018-05,10,535,132,580.0,128.0,3700.0,0.5059233449477352,0.5498257839721254,0.7121951219512195
2018-06,7,115,45,216.0,51.0,1618.0,0.8,0.8,0.64
2018-07,7,56,17,245.0,48.0,2183.0,0.5,0.5,0.0
2018-08,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,8,235,87,362.0,69.0,2127.0,0.25,0.25,0.5
2018-10,98,22802,18319,12843.0,2989.0,97016.0,0.5014196899958435,0.514696822954891,0.5247160328721426
2018-11,26,751,337,2526.0,708.0,18089.0,0.5038073444870377,0.5482889338941683,0.9357142857142856
2018-12,19,742,95,315.0,68.0,1595.0,0.8902439024390244,0.8902439024390244,0.8902439024390244
2019-01,7,285,129,1425.0,350.0,10342.0,0.3339682539682539,0.4171428571428571,0.8317460317460317
2019-02,28,777,92,951.0,227.0,5457.0,0.7158266336837765,0.6712018140589568,0.7619047619047619
2019-03,9,311,22,436.0,115.0,3184.0,0.7074829931972788,0.6778486394557824,0.7585317460317461
2019-04,13,546,30,484.0,143.0,3567.0,0.9569630284373192,0.9840490922206304,0.9333846865743604
2019-05,43,1462,684,2426.0,582.0,16322.0,0.7264555596834521,0.697014089950142,0.7206283473769183
2019-06,21,1124,89,1115.0,290.0,6882.0,0.4449394094555384,0.4846219491380781,0.4772145417306707
2019-07,93,14693,4749,9307.0,2048.0,52266.0,0.7084722362746065,0.3408998300694868,0.3518455073312967
2019-08,43,3093,1776,9506.0,2231.0,62221.0,0.8922538246067657,0.9200184284240012,0.9343715747168432
2019-09,24,3644,616,3514.0,910.0,22028.0,0.4984564420960257,0.6371966152730343,0.583066224616134
2019-10,119,13041,10545,24508.0,5556.0,152724.0,0.1866440017066424,0.6878180838861931,0.7217808974854832
2019-11,41,4414,7347,5027.0,857.0,28314.0,0.4009474869501211,0.6769303026126434,0.5553443811101367
2019-12,31,2451,1183,7122.0,1497.0,40855.0,0.4017975440161807,0.3305267362085048,0.4656045827096086
2020-01,35,3278,556,16547.0,3655.0,95411.0,0.386136098368504,0.4906871860793702,0.3555345669975513
2020-02,28,1305,233,3201.0,678.0,17522.0,0.4429350889674277,0.7328033657255667,0.5123507369712302
2020-03,16,1032,285,5247.0,1204.0,29058.0,0.0979693091494333,0.9757427923550376,0.9974939446989136
2020-04,39,1415,231,1955.0,333.0,10250.0,0.375917861181019,0.7666396761133604,0.902024291497976
2020-05,63,5759,1004,15698.0,2987.0,79994.0,0.1186404733178054,0.2853447559888539,0.447241198803109
2020-06,57,3583,738,11547.0,2031.0,57517.0,0.1948166946674491,0.6725525838216846,0.7551234000794826
2020-07,40,2155,460,11195.0,1881.0,59256.0,0.4264224886394629,0.5633135669098516,0.5870005473453749
2020-08,57,2696,576,4856.0,857.0,23297.0,0.3487649217795759,0.6651038901409044,0.8132345610659946
2020-09,68,8398,1872,18792.0,3382.0,90257.0,0.4390855497575955,0.7772220664842213,0.4501748304218844
2020-10,162,9294,5087,17828.0,2564.0,64368.0,0.1404486516328528,0.4651110873357045,0.5557917682529956
