year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2014-07,26,135,42,0.0,0.0,0.0,0.0,0.0,0.0
2014-08,10,13,3,0.0,0.0,0.0,0.0,0.0,0.0
2014-09,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2014-11,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,9,26,11,0.0,0.0,0.0,0.0,0.0,0.0
2015-01,12,15,5,0.0,0.0,0.0,0.0,0.0,0.0
2015-02,8,16,7,0.0,0.0,0.0,0.0,0.0,0.0
2015-03,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04,7,9,0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05,31,61,15,0.0,0.0,0.0,0.0,0.0,0.0
2015-06,37,209,116,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,18,89,18,0.0,0.0,0.0,0.0,0.0,0.0
2015-08,17,51,15,0.0,0.0,0.0,0.0,0.0,0.0
2015-09,18,20,5,0.0,0.0,0.0,0.0,0.0,0.0
2015-10,19,29,12,0.0,0.0,0.0,0.0,0.0,0.0
2015-11,18,31,8,0.0,0.0,0.0,0.0,0.0,0.0
2015-12,18,18,6,0.0,0.0,0.0,0.0,0.0,0.0
2016-01,37,104,27,0.0,0.0,0.0,0.0,0.0,0.0
2016-02,22,31,16,0.0,0.0,0.0,0.0,0.0,0.0
2016-03,18,19,7,0.0,0.0,0.0,0.0,0.0,0.0
2016-04,11,40,32,0.0,0.0,0.0,0.0,0.0,0.0
2016-05,15,106,46,0.0,0.0,0.0,0.0,0.0,0.0
2016-06,19,56,44,0.0,0.0,0.0,0.0,0.0,0.0
2016-07,11,22,16,0.0,0.0,0.0,0.0,0.0,0.0
2016-08,16,18,5,0.0,0.0,0.0,0.0,0.0,0.0
2016-09,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2016-10,10,11,4,0.0,0.0,0.0,0.0,0.0,0.0
2016-11,11,36,17,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01,13,53,40,0.0,0.0,0.0,0.0,0.0,0.0
2017-02,2,30,14,0.0,0.0,0.0,0.0,0.0,0.0
2017-03,13,34,21,0.0,0.0,0.0,0.0,0.0,0.0
2017-04,14,55,31,0.0,0.0,0.0,0.0,0.0,0.0
2017-05,6,6,1,0.0,0.0,0.0,0.0,0.0,0.0
2017-06,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0
2017-07,25,43,24,0.0,0.0,0.0,0.0,0.0,0.0
2017-08,8,15,4,0.0,0.0,0.0,0.0,0.0,0.0
