year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2011-04,10,6018,473,1767.0,802.0,21032.0,0.6077724460889177,0.5853770403345472,0.8063086084292075
2011-05,7,4124,2398,80.0,20.0,664.0,0.2757475083056478,0.8144012711252343,0.8034378159757324
2011-06,44,3058,4872,384.0,295.0,9813.0,0.7234519675925929,0.64017781986532,0.4204512573653198
2011-07,19,975,449,267.0,59.0,2183.0,1.0,0.0,0.0
2011-08,194,7538,6520,3125.0,1235.0,26259.0,0.7796126204935864,0.5506954819545722,0.630656108597285
2011-09,190,11333,5051,10437.0,3303.0,70388.0,0.5680257105010184,0.7522637027547284,0.7775828284456408
2011-10,110,8311,6094,3605.0,1172.0,24369.0,0.665959040959041,0.7143241374010605,0.7692307692307693
2011-11,90,5277,3659,6042.0,2153.0,46459.0,0.4944909973514152,0.5784715284715285,0.5431457587356462
2011-12,64,11904,1962,10525.0,3604.0,75325.0,0.7138579857763275,0.6086720314470074,0.8452681154045834
2012-01,512,67847,37271,38231.0,14010.0,306044.0,0.6094273352923346,0.7216949244485205,0.7398170488042297
2012-02,284,6822,4076,7447.0,2537.0,55612.0,0.6667241379310344,0.68,0.8
2012-03,219,6295,3978,10420.0,3566.0,77506.0,0.62974983096687,0.800157888088923,0.8875502008032128
2012-04,118,8299,1807,19991.0,10057.0,216601.0,0.4980940951420221,0.4779854911286843,0.5999432838989205
2012-05,64,2959,2374,7697.0,4759.0,101001.0,0.473643525592055,0.5883035714285714,0.5428571428571428
2012-06,133,19415,37983,27892.0,20463.0,420068.0,0.6969184011618496,0.5346557133245328,0.698803068923652
2012-07,146,35810,33803,8794.0,5513.0,120684.0,0.851123595505618,0.4811632518175813,0.6629213483146067
2012-08,230,4403,4880,18830.0,15178.0,323339.0,0.2018034825870646,0.3013661531054405,0.8333333333333334
2012-09,122,20733,13652,19798.0,15246.0,312848.0,0.5981876195891105,0.6723452092701487,0.5929742170662268
2012-10,106,4425,9175,18050.0,10079.0,216355.0,0.3457142857142857,0.2857142857142857,0.6333333333333333
2012-11,106,5861,4308,4764.0,2565.0,57080.0,0.2238247863247863,0.4124245852187027,0.8020676219205629
2012-12,177,15946,16641,55619.0,32841.0,717369.0,0.6283428777673528,0.7549859190988222,0.8235294117647058
2013-01,213,14047,14481,4984.0,2088.0,51139.0,0.9219023543332672,0.6837050258005232,0.8209867816498198
2013-02,175,69291,81871,30552.0,23615.0,507843.0,0.4448227537891305,0.4126214052455245,0.3986183972482347
2013-03,139,13461,12858,15025.0,8287.0,179752.0,0.4884615384615384,0.71875,0.7307692307692307
2013-04,167,6965,5923,22612.0,20424.0,435108.0,0.0,0.0,0.0
2013-05,184,84306,91362,75652.0,44266.0,983720.0,0.576156303885076,0.5849059405414379,0.5736783624244916
2013-06,149,19404,38086,14346.0,9638.0,215260.0,0.9419456906729634,0.8909090909090909,0.8928484848484849
