year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2017-02,48,1238,18,0.0,0.0,0.0,0.0,0.0,0.0
2017-03,86,6291,706,692.0,192.0,4511.0,0.9199584199584196,0.908609113527146,0.5993931588288982
2017-04,23,1840,29,0.0,0.0,0.0,0.0,0.0,0.0
2017-05,6,15,5,0.0,0.0,0.0,0.0,0.0,0.0
2017-06,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0
2017-07,4,5,3,0.0,0.0,0.0,0.0,0.0,0.0
2017-08,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,6,1794,7,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,4,11,12,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,6,1812,25,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,8,110,69,674.0,218.0,4100.0,0.7777777777777778,0.7777777777777778,0.5023148148148149
2018-04,5,12,12,194.0,59.0,1246.0,0.0,0.0,0.0
2018-05,3,8,4,209.0,62.0,1298.0,0.0,0.0,0.0
2018-06,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,9,33,25,179.0,59.0,1151.0,0.0,0.0,0.0
2018-08,9,23,24,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,7,13,13,0.0,0.0,0.0,0.0,0.0,0.0
2018-10,4,35,35,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,2,5,5,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
2019-02,3,4,4,0.0,0.0,0.0,0.0,0.0,0.0
2019-03,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05,7,251,158,0.0,0.0,0.0,0.0,0.0,0.0
2019-06,1,331,1,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,6,7,7,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,3,13,13,85.0,27.0,597.0,0.0,0.0,0.0
2020-01,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,3,5449,2934,0.0,0.0,0.0,0.0,0.0,0.0
2020-04,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
2020-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,27,400,201,0.0,0.0,0.0,0.0,0.0,0.0
2020-08,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0
2020-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2021-03,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02,1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
2022-03,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0
2022-05,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
