year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2018-05,152,929,527,0.0,0.0,0.0,,,
2018-06,38,41,19,0.0,0.0,0.0,,,
2018-07,32,46,11,0.0,0.0,0.0,,,
2018-08,15,19,8,0.0,0.0,0.0,,,
2018-09,6,13,8,0.0,0.0,0.0,,,
2018-10,12,12,5,0.0,0.0,0.0,,,
2018-11,7,6,1,0.0,0.0,0.0,,,
2018-12,7,9,6,0.0,0.0,0.0,,,
2019-01,3,3,0,0.0,0.0,0.0,,,
2019-02,3,4,3,0.0,0.0,0.0,,,
2019-03,10,8,4,0.0,0.0,0.0,,,
2019-04,2,2,1,0.0,0.0,0.0,,,
2019-06,1,1,1,0.0,0.0,0.0,,,
2019-07,2,2,1,0.0,0.0,0.0,,,
2019-08,2,2,10,0.0,0.0,0.0,,,
2019-09,2,1,1,0.0,0.0,0.0,,,
2019-10,2,2,2,0.0,0.0,0.0,,,
2019-11,4,4,0,0.0,0.0,0.0,,,
2020-02,2,2,2,0.0,0.0,0.0,,,
2020-04,6,5,4,0.0,0.0,0.0,,,
2020-05,1,0,1,0.0,0.0,0.0,,,
2020-06,4,5,4,0.0,0.0,0.0,,,
2020-07,2,2,1,0.0,0.0,0.0,,,
2020-09,1,0,1,0.0,0.0,0.0,,,
2020-12,1,1,1,0.0,0.0,0.0,,,
2021-01,2,0,2,0.0,0.0,0.0,,,
2021-03,5,4,10,0.0,0.0,0.0,,,
2021-06,1,1,1,0.0,0.0,0.0,,,
2021-11,1,0,1,0.0,0.0,0.0,,,
2022-02,1,1,1,0.0,0.0,0.0,,,
2022-05,10,24,22,0.0,0.0,0.0,,,
2022-06,2,2,5,0.0,0.0,0.0,,,
2022-07,4,2,4,0.0,0.0,0.0,,,
