year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2013-11,21,3028,51,0.0,0.0,0.0,,,
2013-12,13,660,45,0.0,0.0,0.0,,,
2014-01,14,3299,91,3079.0,1686.0,39555.0,0.6651336146272853,0.777299578059072,0.94493670886076
2014-02,29,1465,481,0.0,0.0,0.0,,,
2014-03,50,2102,520,0.0,0.0,0.0,,,
2014-04,54,1075,286,0.0,0.0,0.0,,,
2014-05,11,320,12,0.0,0.0,0.0,,,
2014-06,13,52,22,0.0,0.0,0.0,,,
2014-07,32,2546,1150,0.0,0.0,0.0,,,
2014-08,76,2509,274,0.0,0.0,0.0,,,
2014-09,75,2129,322,0.0,0.0,0.0,,,
2014-10,81,4872,517,0.0,0.0,0.0,,,
2014-11,69,3269,372,0.0,0.0,0.0,,,
2014-12,70,2657,922,0.0,0.0,0.0,,,
2015-01,93,3486,1973,0.0,0.0,0.0,,,
2015-02,82,2993,803,0.0,0.0,0.0,,,
2015-03,87,3120,437,0.0,0.0,0.0,,,
2015-04,92,2870,338,0.0,0.0,0.0,,,
2015-05,55,1564,595,0.0,0.0,0.0,,,
2015-06,16,79,56,0.0,0.0,0.0,,,
2015-07,27,220,88,0.0,0.0,0.0,,,
2015-08,13,34,33,0.0,0.0,0.0,,,
2015-09,10,14,14,0.0,0.0,0.0,,,
2015-10,17,24,32,0.0,0.0,0.0,,,
2015-11,6,6,6,0.0,0.0,0.0,,,
2015-12,3,3,3,0.0,0.0,0.0,,,
2016-01,6,12,10,0.0,0.0,0.0,,,
2016-02,13,30,28,0.0,0.0,0.0,,,
2016-03,7,7,9,0.0,0.0,0.0,,,
2016-04,4,6,6,0.0,0.0,0.0,,,
2016-05,5,5,5,0.0,0.0,0.0,,,
2016-06,2,2,2,0.0,0.0,0.0,,,
2016-07,4,9,9,0.0,0.0,0.0,,,
2016-08,5,5,5,0.0,0.0,0.0,,,
2016-09,4,281,43,0.0,0.0,0.0,,,
2016-10,1,1,1,0.0,0.0,0.0,,,
2016-11,4,449,318,0.0,0.0,0.0,,,
2017-01,1,2,2,0.0,0.0,0.0,,,
2017-03,7,21,21,0.0,0.0,0.0,,,
2017-04,4,7,7,0.0,0.0,0.0,,,
2017-05,1,1,1,0.0,0.0,0.0,,,
2017-06,2,2,2,0.0,0.0,0.0,,,
2017-08,5,23,3198,0.0,0.0,0.0,0.3416562630045774,0.22721598002496887,0.0561797752808988
2017-09,2,2,2,0.0,0.0,0.0,,,
2017-11,1,1,1,0.0,0.0,0.0,,,
2018-01,2,2,2,0.0,0.0,0.0,,,
2018-02,1,1,1,0.0,0.0,0.0,,,
2018-04,1,1,1,0.0,0.0,0.0,,,
2018-05,2,2,2,0.0,0.0,0.0,,,
2018-08,2,3,3,0.0,0.0,0.0,,,
2018-09,4,4,4,0.0,0.0,0.0,,,
2018-11,3,66,19,0.0,0.0,0.0,,,
2019-08,10,1087,460,0.0,0.0,0.0,,,
2019-10,36,2813,2439,0.0,0.0,0.0,,,
2019-11,45,3803,2349,0.0,0.0,0.0,,,
2019-12,32,2225,2355,0.0,0.0,0.0,,,
2020-01,23,763,485,0.0,0.0,0.0,,,
2020-02,57,5656,3115,0.0,0.0,0.0,,,
2020-03,54,1374,28569,0.0,0.0,0.0,,,
2020-04,2,2,3,0.0,0.0,0.0,,,
2020-05,2,4,4,0.0,0.0,0.0,,,
2020-08,1,1,1,0.0,0.0,0.0,,,
2020-12,2,7,6,0.0,0.0,0.0,,,
2021-09,3,15,3,0.0,0.0,0.0,,,
2021-11,1,0,8,0.0,0.0,0.0,,,
2022-01,11,1620,338,0.0,0.0,0.0,,,
2022-02,4,155,15,0.0,0.0,0.0,,,
2022-03,1,6,6,0.0,0.0,0.0,,,
2022-04,2,14,13,0.0,0.0,0.0,,,
2022-07,39,4654,884,0.0,0.0,0.0,,,
2022-08,12,1249,263,0.0,0.0,0.0,,,
