year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2018-02,184,96273,63752,10974.0,3334.0,76429.0,0.6083935606954352,0.6389853600914022,0.8114684523736008
2018-03,873,329374,338072,0.0,0.0,0.0,0.33100000000000007,0.3148333333333334,0.11233333333333334
2018-04,194,146615,143245,0.0,0.0,0.0,,,
2018-05,52,4745,3594,0.0,0.0,0.0,,,
2018-06,160,35723,32288,0.0,0.0,0.0,,,
2018-07,89,3230,1560,0.0,0.0,0.0,,,
2018-08,143,9873,16257,0.0,0.0,0.0,,,
2018-09,72,1186,862,0.0,0.0,0.0,,,
2018-10,31,348,201,0.0,0.0,0.0,,,
2018-11,26,246,245,0.0,0.0,0.0,,,
2018-12,108,113587,36040,25571.0,10521.0,328577.0,0.4470265247558341,0.63357495027382,0.8553720795879615
2019-01,260,37599,38013,0.0,0.0,0.0,,,
2019-02,120,702,678,0.0,0.0,0.0,,,
2019-03,197,95934,135794,0.0,0.0,0.0,0.492887351018839,0.297193387158785,0.04139433551198252
2019-04,134,68355,37897,0.0,0.0,0.0,,,
2019-05,96,4751,4242,0.0,0.0,0.0,,,
2019-06,135,6179,5589,16.0,3.0,71.0,0.5,0.5,0.5
2019-07,21,535,537,0.0,0.0,0.0,,,
2019-08,7,122,50,0.0,0.0,0.0,,,
2019-09,8,26,26,0.0,0.0,0.0,,,
2019-10,42,3299,3167,0.0,0.0,0.0,,,
2019-11,42,18952,5121,0.0,0.0,0.0,,,
2019-12,39,5477,5425,0.0,0.0,0.0,,,
2020-01,3,16,13,0.0,0.0,0.0,,,
2020-02,13,1326,1175,0.0,0.0,0.0,,,
2020-03,2,2,2,0.0,0.0,0.0,,,
2020-04,3,3,3,0.0,0.0,0.0,,,
2020-05,14,451,489,0.0,0.0,0.0,,,
2020-07,1,3,2,0.0,0.0,0.0,,,
2020-08,2,6,6,0.0,0.0,0.0,,,
2020-09,1,10,10,0.0,0.0,0.0,,,
2020-10,15,41,23,0.0,0.0,0.0,,,
2020-11,82,8366,52488,0.0,0.0,0.0,,,
2021-03,3,118,89,0.0,0.0,0.0,,,
2021-04,6,13,7,0.0,0.0,0.0,,,
2021-07,3,8,4,0.0,0.0,0.0,,,
2022-02,1,0,1,0.0,0.0,0.0,,,
