year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2009-08,49,488,85,0.0,0.0,0.0,,,
2009-09,40,331,102,0.0,0.0,0.0,,,
2009-10,27,171,45,0.0,0.0,0.0,,,
2009-11,29,212,151,0.0,0.0,0.0,,,
2009-12,12,74,35,0.0,0.0,0.0,,,
2010-01,3,16,2,0.0,0.0,0.0,,,
2010-03,4,30,1,0.0,0.0,0.0,,,
2010-04,4,20,4,0.0,0.0,0.0,,,
2010-05,33,360,51,0.0,0.0,0.0,,,
2010-06,20,201,134,0.0,0.0,0.0,,,
2010-08,10,178,85,0.0,0.0,0.0,,,
2010-09,19,234,15,0.0,0.0,0.0,,,
2010-10,36,372,93,0.0,0.0,0.0,,,
2010-11,17,451,157,0.0,0.0,0.0,,,
2010-12,16,117,20,0.0,0.0,0.0,,,
2011-01,14,170,65,0.0,0.0,0.0,,,
2011-02,18,475,19,0.0,0.0,0.0,,,
2011-03,29,598,16,0.0,0.0,0.0,,,
2011-04,68,1457,206,51.0,2.0,496.0,1.0,1.0,1.0
2011-05,42,821,77,0.0,0.0,0.0,,,
2011-06,42,1203,230,26.0,1.0,144.0,1.0,1.0,1.0
2011-07,44,1126,147,0.0,0.0,0.0,,,
2011-08,28,673,159,0.0,0.0,0.0,,,
2011-09,22,245,70,0.0,0.0,0.0,,,
2011-10,17,133,29,0.0,0.0,0.0,,,
2011-11,18,203,65,0.0,0.0,0.0,,,
2011-12,34,446,79,0.0,0.0,0.0,,,
2012-01,35,331,198,0.0,0.0,0.0,,,
2012-02,17,172,29,0.0,0.0,0.0,,,
2012-03,22,226,27,0.0,0.0,0.0,,,
2012-04,14,189,13,0.0,0.0,0.0,,,
2012-05,34,487,84,0.0,0.0,0.0,,,
2012-06,36,257,57,0.0,0.0,0.0,,,
2012-07,39,3052,1090,0.0,0.0,0.0,,,
2012-08,14,148,51,0.0,0.0,0.0,,,
2012-09,37,1217,276,0.0,0.0,0.0,,,
2012-10,32,518,109,0.0,0.0,0.0,,,
2012-11,49,3793,416,0.0,0.0,0.0,,,
2012-12,40,482,119,0.0,0.0,0.0,,,
2013-01,19,451,434,0.0,0.0,0.0,,,
2013-02,36,897,305,0.0,0.0,0.0,,,
2013-03,36,455,142,0.0,0.0,0.0,,,
2013-04,57,1873,171,0.0,0.0,0.0,,,
2013-05,12,136,29,0.0,0.0,0.0,,,
2013-06,44,1023,112,0.0,0.0,0.0,,,
2013-07,33,1111,150,0.0,0.0,0.0,,,
2013-08,15,963,402,0.0,0.0,0.0,,,
2013-09,29,356,46,0.0,0.0,0.0,,,
2013-10,29,278,34,0.0,0.0,0.0,,,
2013-11,37,909,209,0.0,0.0,0.0,,,
2013-12,31,263,96,0.0,0.0,0.0,,,
2014-01,29,606,157,0.0,0.0,0.0,,,
2014-02,32,783,242,136.0,4.0,997.0,,,
2014-03,109,3483,1849,0.0,0.0,0.0,,,
2014-04,12,106,51,68.0,2.0,503.0,,,
2014-05,32,79,60,0.0,0.0,0.0,,,
2014-06,38,1411,37,68.0,2.0,503.0,,,
2014-07,38,355,165,68.0,2.0,503.0,,,
2014-08,45,556,107,0.0,0.0,0.0,,,
2014-09,23,527,151,0.0,0.0,0.0,,,
2014-10,11,37,31,0.0,0.0,0.0,,,
2014-11,27,443,201,0.0,0.0,0.0,,,
2014-12,31,351,153,0.0,0.0,0.0,,,
2015-01,16,178,73,0.0,0.0,0.0,,,
2015-02,99,2012,607,0.0,0.0,0.0,,,
2015-03,4,225,56,0.0,0.0,0.0,,,
2015-04,9,211,24,0.0,0.0,0.0,,,
2015-05,20,589,326,0.0,0.0,0.0,,,
2015-06,88,2268,963,0.0,0.0,0.0,,,
2015-07,52,3572,1175,0.0,0.0,0.0,,,
2015-08,66,1348,509,421.0,5.0,4011.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
2015-09,78,1587,717,0.0,0.0,0.0,,,
2015-10,41,417,264,0.0,0.0,0.0,,,
2015-11,44,3294,709,0.0,0.0,0.0,,,
2015-12,40,422,204,0.0,0.0,0.0,,,
2016-01,17,510,46,0.0,0.0,0.0,,,
2016-02,16,159,95,0.0,0.0,0.0,,,
2016-03,12,103,16,0.0,0.0,0.0,,,
2016-04,6,41,25,0.0,0.0,0.0,,,
2016-05,38,2000,285,0.0,0.0,0.0,,,
2016-06,18,282,98,0.0,0.0,0.0,,,
2016-07,13,504,228,0.0,0.0,0.0,,,
2016-08,72,3301,777,0.0,0.0,0.0,,,
2016-09,76,1211,713,18.0,0.0,100.0,,,
2016-10,56,1168,232,0.0,0.0,0.0,,,
2016-11,21,318,52,0.0,0.0,0.0,,,
2016-12,30,1392,702,0.0,0.0,0.0,,,
2017-01,5,57,24,0.0,0.0,0.0,,,
2017-02,14,114,14,0.0,0.0,0.0,,,
2017-03,14,324,68,0.0,0.0,0.0,,,
2017-04,1,1,1,0.0,0.0,0.0,,,
2017-05,1,3,3,0.0,0.0,0.0,,,
2017-06,2,11,0,0.0,0.0,0.0,,,
2017-09,1,122,37,0.0,0.0,0.0,,,
2017-11,48,950,244,0.0,0.0,0.0,,,
2017-12,4,480,270,0.0,0.0,0.0,,,
2018-01,13,79,11,0.0,0.0,0.0,,,
2018-02,1,1,1,0.0,0.0,0.0,,,
2018-03,11,245,12,0.0,0.0,0.0,,,
2018-04,57,2501,642,66.0,5.0,587.0,,,
2018-05,44,494,249,0.0,0.0,0.0,,,
2018-06,35,351,276,0.0,0.0,0.0,,,
2018-07,37,1441,603,66.0,5.0,594.0,,,
2018-08,65,1851,852,0.0,0.0,0.0,,,
2018-09,44,623,154,0.0,0.0,0.0,,,
2018-10,139,2830,415,0.0,0.0,0.0,,,
2018-11,15,281,23,0.0,0.0,0.0,,,
2018-12,8,40,9,0.0,0.0,0.0,,,
2019-01,21,188,46,0.0,0.0,0.0,,,
2019-02,29,465,394,0.0,0.0,0.0,,,
2019-03,41,1410,345,0.0,0.0,0.0,,,
2019-04,69,3069,966,133.0,10.0,1211.0,,,
2019-05,39,1059,454,0.0,0.0,0.0,,,
2019-06,41,2087,1645,0.0,0.0,0.0,,,
2019-07,20,351,172,0.0,0.0,0.0,,,
2019-08,20,526,57,0.0,0.0,0.0,,,
2019-09,23,815,862,0.0,0.0,0.0,,,
2019-10,85,1644,795,0.0,0.0,0.0,,,
2019-11,41,436,234,0.0,0.0,0.0,,,
2019-12,38,1052,327,61.0,4.0,570.0,0.0,0.0,0.0
2020-01,13,91,29,0.0,0.0,0.0,,,
2020-02,86,1352,985,0.0,0.0,0.0,,,
2020-03,59,2540,1364,0.0,0.0,0.0,,,
2020-04,13,93,118,0.0,0.0,0.0,,,
2020-05,55,3296,924,79.0,18.0,574.0,1.0,1.0,1.0
2020-06,32,1125,2754,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,33,425,231,0.0,0.0,0.0,,,
2020-08,27,592,263,0.0,0.0,0.0,,,
2020-09,35,472,476,0.0,0.0,0.0,,,
2020-10,66,3605,1590,0.0,0.0,0.0,,,
2020-11,23,1737,1018,64.0,18.0,496.0,,,
2020-12,37,744,446,61.0,4.0,580.0,,,
2021-01,35,724,197,77.0,7.0,694.0,1.0,1.0,1.0
2021-02,4,45,21,0.0,0.0,0.0,,,
2021-03,17,547,129,0.0,0.0,0.0,,,
2021-04,27,622,416,53.0,18.0,424.0,1.0,1.0,1.0
2021-05,10,145,45,0.0,0.0,0.0,,,
2021-06,35,932,107,150.0,33.0,1112.0,1.0,0.0350877192982456,0.5087719298245614
2021-07,11,270,172,0.0,0.0,0.0,,,
2021-08,39,914,435,0.0,0.0,0.0,,,
2021-09,58,1162,2059,0.0,0.0,0.0,,,
2021-10,59,1240,770,0.0,0.0,0.0,,,
2021-11,43,534,275,0.0,0.0,0.0,,,
2021-12,140,42643,6266,432.0,67.0,3047.0,1.0,1.0,0.5
2022-01,85,1560,1145,0.0,0.0,0.0,,,
2022-02,43,527,592,0.0,0.0,0.0,,,
2022-03,33,1188,5084,0.0,0.0,0.0,,,
2022-04,18,183,191,152.0,35.0,1365.0,1.0,1.0,1.0
2022-05,6,44,41,0.0,0.0,0.0,,,
2022-06,9,46,85,0.0,0.0,0.0,,,
2022-07,12,77,70,0.0,0.0,0.0,,,
2022-08,3,83,51,0.0,0.0,0.0,,,
