year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2018-03,44,14288,1088,1648.0,321.0,12476.0,0.7322134293887531,0.9292437863564248,0.9952406134320466
2018-04,190,9927,7781,8997.0,1650.0,69421.0,0.5825927077350479,0.8614680379225197,0.9565043760178062
2018-05,132,17042,9813,14041.0,2339.0,114022.0,0.4851027362949257,0.8658246589952114,0.8793828012764344
2018-06,100,5122,1679,7334.0,1324.0,62950.0,0.6844070815909562,0.8365596869628736,0.8736347582318007
2018-07,77,6560,1906,6838.0,1184.0,59589.0,0.5159764618746523,0.7229013557734083,0.8245263959325295
2018-08,99,6748,2539,6640.0,1156.0,54909.0,0.7373000395110936,0.9057128599789857,0.8186297121206735
2018-09,36,1204,511,2679.0,484.0,23183.0,0.6846773435995444,0.9002424242424242,0.8857142857142857
2018-10,9,1137,2587,133.0,30.0,816.0,0.6666666666666666,0.0,0.0
2018-11,6,554,305,558.0,85.0,4781.0,0.6282051282051282,0.8333333333333334,0.8333333333333334
2018-12,27,936,165,621.0,96.0,5726.0,0.0,1.0,1.0
2019-01,2,15,7,32.0,10.0,198.0,,,
2019-02,3,44,18,23.0,12.0,172.0,1.0,1.0,1.0
2019-03,26,8256,5977,280.0,46.0,2522.0,0.7008547008547007,1.0,1.0
2019-04,12,1659,197,158.0,17.0,1540.0,1.0,1.0,1.0
2019-06,1,1197,3690,32.0,7.0,289.0,1.0,0.0,0.0
2019-12,1,2,0,0.0,0.0,0.0,,,
2020-07,20,8427,5633,2210.0,403.0,17442.0,0.41640866873065036,0.02631578947368421,0.02631578947368421
2020-08,11,356,90,137.0,30.0,1172.0,0.8144796380090498,1.0,1.0
2020-10,2,1209,337,0.0,0.0,0.0,,,
2020-11,4,380,59,74.0,12.0,491.0,0.5,0.5,0.5
2020-12,86,8745,3748,4145.0,743.0,36320.0,0.594964186715301,0.8851782095413915,0.9170918367346939
2021-01,7,686,44,79.0,13.0,362.0,,,
2021-04,8,2907,1201,211.0,40.0,2046.0,0.43046357615894043,0.7072847682119204,0.8969696969696969
2021-05,10,574,76,171.0,52.0,955.0,1.0,1.0,1.0
2021-07,5,408,1,179.0,30.0,1339.0,0.6666666666666666,1.0,1.0
2021-10,6,2861,4305,64.0,17.0,663.0,0.4057971014492754,0.6811594202898551,1.0
2022-01,63,2851,2427,1128.0,211.0,9327.0,0.8564102564102566,0.5564102564102564,0.6
2022-02,2,68,8,57.0,11.0,1059.0,1.0,1.0,1.0
2022-03,4,7,2,0.0,0.0,0.0,,,
2022-07,10,213,117,0.0,0.0,0.0,,,
