year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2014-10,9,5903,62,0.0,0.0,0.0,0.0,0.0,0.0
2014-11,32,2219,559,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,5,193,85,0.0,0.0,0.0,0.0,0.0,0.0
2015-01,36,5510,5289,0.0,0.0,0.0,0.0,0.0,0.0
2015-02,33,4101,616,0.0,0.0,0.0,0.0,0.0,0.0
2015-03,96,40571,21109,0.0,0.0,0.0,0.0,0.0,0.0
2015-04,21,188,112,0.0,0.0,0.0,0.0,0.0,0.0
2015-05,57,32026,987,0.0,0.0,0.0,0.0,0.0,0.0
2015-06,194,8964,69025,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,218,61006,4442,81.0,7.0,510.0,0.9828326180257512,0.9828326180257512,0.9828326180257512
2015-08,415,23798,10233,0.0,0.0,0.0,0.0,0.0,0.0
2015-09,340,29292,11874,0.0,0.0,0.0,0.0,0.0,0.0
2015-10,411,33036,32954,0.0,0.0,0.0,0.0,0.0,0.0
2015-11,299,21376,42133,82.0,12.0,688.0,0.6396103896103895,0.8928571428571429,0.8603896103896105
2015-12,202,15842,11356,0.0,0.0,0.0,0.782608695652174,0.0,0.2173913043478259
2016-01,224,21439,11503,148.0,27.0,1063.0,0.4909909909909908,0.5495495495495494,0.6666666666666666
2016-02,329,27783,17384,228.0,48.0,1361.0,0.4945945945945944,0.4213963963963963,0.5625
2016-03,367,34330,16627,173.0,20.0,1116.0,0.7309941520467839,1.0,1.0
2016-04,280,37981,23213,262.0,34.0,1638.0,1.0,1.0,1.0
2016-05,271,28001,20008,76.0,10.0,504.0,1.0,1.0,1.0
2016-06,237,20748,9348,432.0,56.0,2723.0,0.3793103448275862,0.3793103448275862,1.0
2016-07,124,10742,4246,227.0,37.0,1447.0,0.9946808510638298,0.9893617021276596,0.9893617021276596
2016-08,208,15365,4230,142.0,19.0,868.0,0.0,0.0,1.0
2016-09,206,18844,12422,0.0,0.0,0.0,0.0,0.0,0.0
2016-10,220,10160,6715,137.0,19.0,847.0,0.0,0.0,0.0
2016-11,221,9390,5432,128.0,16.0,783.0,0.0,0.0,0.0
2016-12,72,5779,2191,117.0,12.0,778.0,0.2738095238095238,1.0,1.0
2017-01,244,30553,13758,39.0,3.0,228.0,0.0,0.0,0.0
2017-02,342,28035,22975,561.0,98.0,3655.0,0.4152980183514536,0.581540596807772,0.7954545454545454
2017-03,329,43849,20765,1366.0,178.0,8943.0,0.5180896220670184,0.6840162421557768,0.526984126984127
2017-04,255,33040,29078,1118.0,142.0,6666.0,0.7365307326944164,0.8736263736263736,0.7702297702297713
2017-05,306,26536,10565,1495.0,212.0,9079.0,0.7240406320541732,0.8058690744920993,0.7957110609480825
2017-06,237,19760,6724,19.0,2.0,111.0,0.0,0.0,0.0
2017-07,133,13972,3973,71.0,8.0,456.0,1.0,1.0,1.0
2017-08,152,25841,9099,138.0,13.0,949.0,0.7478632478632479,0.7478632478632479,0.7478632478632479
2017-09,196,34582,13066,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,174,28377,11544,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,199,18498,6308,568.0,55.0,3715.0,0.315126050420168,0.5300420168067229,0.9453781512605044
2017-12,211,24951,8478,203.0,41.0,1235.0,1.0,1.0,1.0
2018-01,243,57723,7770,450.0,54.0,2986.0,0.0,0.0,0.0
2018-02,231,17067,7919,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,263,27658,11937,400.0,42.0,2814.0,0.7605633802816901,1.0,1.0
2018-04,243,24532,12375,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,304,24665,10652,16.0,2.0,90.0,1.0,1.0,1.0
2018-06,210,23592,11867,224.0,18.0,1486.0,0.4936186186186185,1.0,0.4725634725634724
2018-07,228,196997,178189,87.0,5.0,583.0,0.0,0.0,0.0
2018-08,298,99235,61916,460.0,57.0,3436.0,0.8688888888888887,0.9733333333333334,0.9266666666666667
2018-09,250,50534,38386,472.0,64.0,3061.0,0.5687458081824279,1.0,1.0
2018-10,325,40413,22595,523.0,69.0,3449.0,0.41638721216186,0.652805723228259,0.7936507936507936
2018-11,270,29920,20655,64.0,7.0,476.0,0.0,0.0,0.0
