year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2010-11,134,758,102,0.0,0.0,0.0,,,
2011-01,11,30,6,0.0,0.0,0.0,,,
2011-02,18,129,11,0.0,0.0,0.0,,,
2011-03,12,196,86,0.0,0.0,0.0,,,
2011-04,10,36,16,0.0,0.0,0.0,,,
2011-05,15,439,12,0.0,0.0,0.0,,,
2011-06,9,55,4,0.0,0.0,0.0,,,
2011-07,16,137,48,0.0,0.0,0.0,,,
2011-08,14,36,5,0.0,0.0,0.0,,,
2011-09,7,32,4,0.0,0.0,0.0,,,
2011-10,5,17,5,0.0,0.0,0.0,,,
2011-11,4,5,2,0.0,0.0,0.0,,,
2011-12,3,3,2,0.0,0.0,0.0,,,
2012-01,8,39,7,0.0,0.0,0.0,,,
2012-02,4,46,6,0.0,0.0,0.0,,,
2012-03,9,94,39,0.0,0.0,0.0,,,
2012-04,26,370,17,0.0,0.0,0.0,,,
2012-05,14,51,5,0.0,0.0,0.0,,,
2012-06,11,39,10,0.0,0.0,0.0,,,
2012-07,10,43,19,0.0,0.0,0.0,,,
2012-08,22,100,28,0.0,0.0,0.0,,,
2012-09,5,26,2,0.0,0.0,0.0,,,
2012-10,10,38,14,0.0,0.0,0.0,,,
2012-11,9,63,18,0.0,0.0,0.0,,,
2012-12,7,71,223,0.0,0.0,0.0,,,
2013-01,31,78,50,0.0,0.0,0.0,,,
2013-02,6,16,1,0.0,0.0,0.0,,,
2013-03,8,37,2,0.0,0.0,0.0,,,
2013-04,10,22,6,0.0,0.0,0.0,,,
2013-05,11,30,3,0.0,0.0,0.0,,,
2013-06,8,14,2,0.0,0.0,0.0,,,
2013-07,13,47,16,0.0,0.0,0.0,,,
2013-08,7,12,1,0.0,0.0,0.0,,,
2013-09,11,107,16,0.0,0.0,0.0,,,
2013-10,15,114,36,0.0,0.0,0.0,,,
2013-11,77,830,696,0.0,0.0,0.0,,,
2013-12,13,47,7,0.0,0.0,0.0,,,
2014-01,18,114,24,0.0,0.0,0.0,,,
2014-02,46,189,176,0.0,0.0,0.0,,,
2014-03,35,159,138,0.0,0.0,0.0,,,
2014-04,34,137,94,0.0,0.0,0.0,,,
2014-05,32,73,48,0.0,0.0,0.0,,,
2014-06,20,125,23,0.0,0.0,0.0,,,
2014-07,22,102,37,0.0,0.0,0.0,,,
2014-08,13,38,5,0.0,0.0,0.0,,,
2014-09,33,84,243,0.0,0.0,0.0,,,
2014-10,24,53,19,0.0,0.0,0.0,,,
2014-11,22,76,16,0.0,0.0,0.0,,,
2014-12,20,82,18,0.0,0.0,0.0,,,
2015-01,28,112,27,0.0,0.0,0.0,,,
2015-02,17,132,47,0.0,0.0,0.0,,,
2015-03,18,51,7,0.0,0.0,0.0,,,
2015-04,19,110,67,0.0,0.0,0.0,,,
2015-05,22,88,22,0.0,0.0,0.0,,,
2015-06,15,58,54,0.0,0.0,0.0,,,
2015-07,10,34,13,0.0,0.0,0.0,,,
2015-08,18,77,12,0.0,0.0,0.0,,,
2015-09,19,69,14,0.0,0.0,0.0,,,
2015-10,42,193,67,0.0,0.0,0.0,,,
2015-11,29,94,34,0.0,0.0,0.0,,,
2015-12,30,216,66,0.0,0.0,0.0,,,
2016-01,15,34,6,0.0,0.0,0.0,,,
2016-02,29,66,10,0.0,0.0,0.0,,,
2016-03,28,80,27,0.0,0.0,0.0,,,
2016-04,14,40,12,0.0,0.0,0.0,,,
2016-05,18,57,11,0.0,0.0,0.0,,,
2016-06,12,32,7,0.0,0.0,0.0,,,
2016-07,13,28,3,0.0,0.0,0.0,,,
2016-08,16,88,30,0.0,0.0,0.0,,,
2016-09,16,43,8,0.0,0.0,0.0,,,
2016-10,28,201,117,0.0,0.0,0.0,,,
2016-11,21,63,122,0.0,0.0,0.0,,,
2016-12,16,81,49,0.0,0.0,0.0,,,
2017-01,24,61,43,0.0,0.0,0.0,,,
2017-02,21,33,46,0.0,0.0,0.0,,,
2017-03,22,99,75,0.0,0.0,0.0,,,
2017-04,4,4,2,0.0,0.0,0.0,,,
2017-05,16,48,22,0.0,0.0,0.0,,,
2017-06,8,27,10,0.0,0.0,0.0,,,
2017-07,9,15,5,0.0,0.0,0.0,,,
2017-08,10,20,5,0.0,0.0,0.0,,,
2017-09,6,18,4,0.0,0.0,0.0,,,
2017-10,7,16,19,0.0,0.0,0.0,,,
2017-11,17,43,18,0.0,0.0,0.0,,,
2017-12,11,43,10,0.0,0.0,0.0,,,
2018-01,12,86,4,0.0,0.0,0.0,,,
2018-02,12,22,12,0.0,0.0,0.0,,,
2018-03,18,35,18,0.0,0.0,0.0,,,
2018-04,16,24,12,0.0,0.0,0.0,,,
2018-05,15,50,11,0.0,0.0,0.0,,,
2018-06,18,57,36,0.0,0.0,0.0,,,
2018-07,7,83,11,0.0,0.0,0.0,,,
2018-08,14,32,9,0.0,0.0,0.0,,,
2018-09,13,40,6,0.0,0.0,0.0,,,
2018-10,40,618,130,0.0,0.0,0.0,,,
2018-11,24,291,17,0.0,0.0,0.0,,,
2018-12,22,44,14,0.0,0.0,0.0,,,
2019-01,14,35,5,0.0,0.0,0.0,,,
2019-02,3,7,0,0.0,0.0,0.0,,,
2019-03,22,80,20,0.0,0.0,0.0,,,
2019-04,5,31,2,0.0,0.0,0.0,,,
2019-05,24,70,35,0.0,0.0,0.0,,,
2019-06,5,297,106,0.0,0.0,0.0,,,
2019-07,9,26,13,0.0,0.0,0.0,,,
2019-08,9,56,25,0.0,0.0,0.0,,,
2019-09,12,71,11,0.0,0.0,0.0,,,
2019-10,10,29,14,0.0,0.0,0.0,,,
2019-11,13,23,6,0.0,0.0,0.0,,,
2019-12,8,18,4,0.0,0.0,0.0,,,
2020-01,9,59,19,0.0,0.0,0.0,,,
2020-02,16,53,11,0.0,0.0,0.0,,,
2020-03,20,245,37,0.0,0.0,0.0,,,
2020-04,10,78,43,0.0,0.0,0.0,,,
2020-05,5,10,2,0.0,0.0,0.0,,,
2020-06,1,7,0,0.0,0.0,0.0,,,
2020-07,8,19,8,0.0,0.0,0.0,,,
2020-08,2,10,2,0.0,0.0,0.0,,,
2020-10,1,3,0,0.0,0.0,0.0,,,
2020-12,1,3,0,0.0,0.0,0.0,,,
2021-02,7,36,9,0.0,0.0,0.0,,,
