year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2016-06,65,4005,2390,0.0,0.0,0.0,0.0,0.0,0.0
2016-07,79,2147,622,53.0,0.0,84.0,0.0,0.0,0.0
2016-08,57,578,414,0.0,0.0,0.0,0.0,0.0,0.0
2016-09,84,871,624,0.0,0.0,0.0,0.0,0.0,0.0
2016-10,155,7618,5413,0.0,0.0,0.0,0.0,0.0,0.0
2016-11,32,646,501,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,76,15514,798,0.0,0.0,0.0,0.0,0.0,0.0
2017-01,151,18720,6132,0.0,0.0,0.0,0.0,0.0,0.0
2017-02,19,549,1210,0.0,0.0,0.0,0.0,0.0,0.0
2017-03,55,3519,697,0.0,0.0,0.0,0.0,0.0,0.0
2017-04,22,861,943,0.0,0.0,0.0,0.0,0.0,0.0
2017-05,90,3296,5392,0.0,0.0,0.0,0.0,0.0,0.0
2017-06,49,3555,1358,0.0,0.0,0.0,0.0,0.0,0.0
2017-07,6,67,67,0.0,0.0,0.0,0.0,0.0,0.0
2017-08,3,204,81,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,7,15,15,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,7,680,672,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,13,629,634,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,9,186,185,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,13,120,131,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,10,246,249,0.0,0.0,0.0,0.0,0.0,0.0
2018-04,9,29,7,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,1,4,2,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,4,8,8,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,3,26,28,0.0,0.0,0.0,0.0,0.0,0.0
2018-10,13,124,173,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,9,338,196,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,19,753,721,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,10,287,305,0.0,0.0,0.0,0.0,0.0,0.0
2019-02,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2019-03,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,2,17,13,0.0,0.0,0.0,0.0,0.0,0.0
2019-05,7,11,12,0.0,0.0,0.0,0.0,0.0,0.0
2019-06,2,3,12,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,9,3043,949,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,7,21,27,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,21,232,235,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,1,132,133,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,9,312,428,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,6,3173,2465,0.0,0.0,0.0,0.0,0.0,0.0
2020-04,16,4821,3541,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,20,3101,195,0.0,0.0,0.0,0.0,0.0,0.0
2020-06,5,630,648,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,5,39,93,0.0,0.0,0.0,0.0,0.0,0.0
2020-08,8,23,11,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,8,573,679,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,11,1163,941,0.0,0.0,0.0,0.0,0.0,0.0
2020-11,8,1446,390,0.0,0.0,0.0,0.0,0.0,0.0
2020-12,9,72,48,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,35,1465,1526,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,3,106,105,0.0,0.0,0.0,0.0,0.0,0.0
2021-03,4,70,69,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,15,1318,1440,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,4,25,29,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,15,2840,809,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,28,3371,666,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,9,284,293,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,17,366,357,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,10,40,26,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,10,3973,1587,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,23,1393,424,0.0,0.0,0.0,0.0,0.0,0.0
2022-01,20,1768,1039,0.0,0.0,0.0,0.0,0.0,0.0
2022-02,17,76,96,0.0,0.0,0.0,0.0,0.0,0.0
2022-03,18,1969,1991,0.0,0.0,0.0,0.0,0.0,0.0
2022-04,5,31,693,0.0,0.0,0.0,0.0,0.0,0.0
2022-05,10,35,42,0.0,0.0,0.0,0.0,0.0,0.0
2022-06,4,8,3,0.0,0.0,0.0,0.0,0.0,0.0
2022-07,170,2555,579,0.0,0.0,0.0,0.0,0.0,0.0
2022-08,2,4,2,0.0,0.0,0.0,0.0,0.0,0.0
