year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2017-03,56,141,75,0.0,0.0,0.0,0.0,0.0,0.0
2017-04,7,9,9,0.0,0.0,0.0,0.0,0.0,0.0
2017-05,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0
2017-06,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2017-07,13,21,23,0.0,0.0,0.0,0.0,0.0,0.0
2017-08,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,4,8,5,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,6,3628,3628,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,11,32,25,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,18,279,94,0.0,0.0,0.0,0.0,0.0,0.0
2018-04,6,13,15,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,7,6,195,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
2018-10,6,60,35,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,1,5461,1,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,15,37,26,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,5,6,6,0.0,0.0,0.0,0.0,0.0,0.0
2019-02,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0
2019-03,3,5461,5461,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05,11,26,5489,0.0,0.0,0.0,0.0,0.0,0.0
2019-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,4,5,10,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,3,5780,43,63.0,6.0,192.0,1.0,1.0,1.0
2019-09,21,1303,360,1174.0,55.0,3013.0,0.5568181818181818,0.9545454545454546,0.9545454545454546
2019-10,19,1419,720,2569.0,101.0,5476.0,0.6868908382066277,0.868421052631579,0.868421052631579
2019-11,125,10730,2284,10878.0,807.0,37095.0,0.5536228628125606,0.9020100502512562,0.9020100502512562
2019-12,31,816,390,2122.0,160.0,7809.0,0.5039136302294198,0.5850202429149798,0.6578947368421053
2020-01,50,44647,3009,3288.0,315.0,12541.0,0.2708333333333333,0.4583333333333333,0.6666666666666666
2020-02,19,563,584,596.0,51.0,2298.0,0.074074074074074,0.1111111111111111,1.0
2020-03,20,2372,1352,695.0,35.0,2279.0,0.75,0.5,0.25
2020-04,7,262,26,119.0,7.0,400.0,0.6923076923076923,1.0,1.0
2020-05,16,1535,586,339.0,19.0,1000.0,0.2222222222222222,0.925925925925926,0.925925925925926
2020-06,11,251,36,454.0,29.0,1394.0,0.4,1.0,1.0
2020-07,17,421,168,596.0,32.0,1654.0,0.0,1.0,1.0
2020-08,5,106,80,569.0,7.0,995.0,0.0,1.0,1.0
2020-09,5,577,277,240.0,2.0,403.0,0.0,1.0,1.0
2020-10,6,22,4,559.0,7.0,965.0,0.0,1.0,1.0
2020-11,3,13,2,300.0,2.0,473.0,0.0,1.0,1.0
2020-12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,2,22,22,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,1,17,17,0.0,0.0,0.0,0.0,0.0,0.0
2021-03,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,58,54197,31612,532.0,57.0,3080.0,0.6440247740887403,0.9572192513368984,0.9572192513368984
2021-09,90,98451,75986,882.0,113.0,4873.0,0.6353208549692065,0.0498377812663523,0.0291554160125587
2021-10,17,9360,14555,41.0,5.0,232.0,0.0,0.0,0.0
2021-11,20,23691,15009,408.0,52.0,2421.0,0.4251700680272108,0.5918367346938775,0.4251700680272108
2021-12,137,5822,3124,2367.0,327.0,15733.0,0.1688415301886175,0.1933095109672779,0.1911356689876107
2022-01,99,14177,10505,40.0,6.0,218.0,1.0,1.0,1.0
2022-02,61,434,81,0.0,0.0,0.0,0.0,0.0,0.0
2022-03,27,179,27,0.0,0.0,0.0,0.0,0.0,0.0
2022-04,13,99,14,0.0,0.0,0.0,0.0,0.0,0.0
2022-05,12,91,18,0.0,0.0,0.0,0.0,0.0,0.0
2022-06,20,71940,125,0.0,0.0,0.0,0.0,0.0,0.0
2022-07,5,19,4,0.0,0.0,0.0,0.0,0.0,0.0
