year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2016-03,138,430,146,0.0,0.0,0.0,,,
2016-04,32,46,9,0.0,0.0,0.0,,,
2016-05,11,18,1,0.0,0.0,0.0,,,
2016-06,33,180,748,0.0,0.0,0.0,,,
2016-07,6,13,2,0.0,0.0,0.0,,,
2016-08,10,12,1,0.0,0.0,0.0,,,
2016-09,6,16,5,0.0,0.0,0.0,,,
2016-10,15,78,66,0.0,0.0,0.0,,,
2016-11,13,21,9,0.0,0.0,0.0,,,
2016-12,25,276,160,0.0,0.0,0.0,,,
2017-01,26,454,431,0.0,0.0,0.0,,,
2017-02,27,123,104,0.0,0.0,0.0,,,
2017-03,51,133,97,0.0,0.0,0.0,,,
2017-04,56,137,110,0.0,0.0,0.0,,,
2017-05,46,6420,4109,198.0,51.0,1238.0,0.5511363636363636,0.5511363636363636,1.0
2017-06,27,3735,1523,115.0,32.0,738.0,0.0,0.0,1.0
2017-07,133,8343,10025,1519.0,64.0,8657.0,1.0,0.5,0.5
2017-08,145,14254,16056,776.0,114.0,4847.0,0.0625,0.0625,1.0
2017-09,53,615,107,224.0,0.0,1174.0,,,
2017-10,101,1288,818,0.0,0.0,0.0,,,
2017-11,54,201,86,0.0,0.0,0.0,,,
2017-12,50,1869,2024,335.0,111.0,2503.0,0.4560706013731491,0.4625641078666556,0.6363636363636364
2018-01,68,1998,1336,553.0,190.0,4183.0,0.0,0.0,1.0
2018-02,33,62,4661,199.0,75.0,1527.0,0.416988416988417,0.416988416988417,0.42857142857142855
2018-03,32,86,68,217.0,80.0,1685.0,0.0,0.0,0.5
2018-04,28,35,17,113.0,41.0,870.0,0.0,0.0,1.0
2018-05,14,14,9,118.0,42.0,893.0,0.0,0.0,1.0
2018-06,13,15,4,0.0,0.0,0.0,,,
2018-07,18,21,12,0.0,0.0,0.0,,,
2018-08,14,14,7,0.0,0.0,0.0,,,
2018-09,9,686,676,124.0,42.0,924.0,0.0,0.0,1.0
2018-10,27,58,48,0.0,0.0,0.0,,,
2018-11,14,16,2,0.0,0.0,0.0,,,
2018-12,14,16,4,0.0,0.0,0.0,,,
2019-01,7,6,4,0.0,0.0,0.0,,,
2019-02,20,18,10,0.0,0.0,0.0,,,
2019-03,7,5,2,0.0,0.0,0.0,,,
2019-04,12,9,7,0.0,0.0,0.0,,,
2019-05,2,1,1,0.0,0.0,0.0,,,
2019-06,5,4,2,0.0,0.0,0.0,,,
2019-07,8,11,2,0.0,0.0,0.0,,,
2019-08,12,13,5,0.0,0.0,0.0,,,
2019-09,3,3,0,0.0,0.0,0.0,,,
2019-10,92,147,46,0.0,0.0,0.0,,,
2019-11,6,6,3,0.0,0.0,0.0,,,
2019-12,6,7,2,0.0,0.0,0.0,,,
2020-01,4,4,0,0.0,0.0,0.0,,,
2020-02,12,14,13,0.0,0.0,0.0,,,
2020-03,8,86,3,0.0,0.0,0.0,,,
2020-04,36,47,77,0.0,0.0,0.0,,,
2020-05,17,20,8,0.0,0.0,0.0,,,
2020-06,14,13,4,0.0,0.0,0.0,,,
2020-07,10,10,5,0.0,0.0,0.0,,,
2020-08,17,17,7,0.0,0.0,0.0,,,
2020-09,10,12,5,0.0,0.0,0.0,,,
2020-10,63,112,74,242.0,56.0,1674.0,0.0,0.0,1.0
2020-11,30,54,30,50.0,11.0,290.0,0.0,0.0,1.0
2020-12,16,17,6,0.0,0.0,0.0,,,
2021-01,14,10,6,0.0,0.0,0.0,,,
2021-02,17,35,33,0.0,0.0,0.0,,,
2021-03,49,489,411,274.0,75.0,1695.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
2021-04,68,87,53,118.0,41.0,895.0,,,
2021-05,45,48,24,0.0,0.0,0.0,,,
2021-06,36,31,65,0.0,0.0,0.0,,,
2021-07,60,84,37,0.0,0.0,0.0,,,
2021-08,65,107,54,156.0,33.0,840.0,1.0,1.0,0.5
2021-09,50,51,19,0.0,0.0,0.0,,,
2021-10,524,577,120,230.0,50.0,1321.0,0.0,0.0,1.0
2021-11,41,45,8,0.0,0.0,0.0,,,
2021-12,46,70,57,0.0,0.0,0.0,,,
2022-01,117,1761,569,8691.0,1564.0,51285.0,0.5469160628961292,0.7501881692974277,0.7887992406264832
2022-02,105,137,97,193.0,40.0,890.0,0.0,1.0,1.0
2022-03,55,38,47,0.0,0.0,0.0,,,
2022-05,1,1,0,0.0,0.0,0.0,,,
2022-07,1,4,0,0.0,0.0,0.0,,,
