year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2016-04,380,37122,8192,115204.0,34937.0,706296.0,0.5982499115548167,0.6591856116880846,0.6774404196961322
2016-05,192,12271,3826,62991.0,10566.0,343274.0,0.6051871476882899,0.6637282402475512,0.6144873247711495
2016-06,207,24235,18906,204456.0,67578.0,1526481.0,0.571804064413466,0.678277805443354,0.7023759709189971
2016-07,157,19362,15144,135788.0,45842.0,1021427.0,0.4779504902795265,0.5098172613785751,0.6310362582653223
2016-08,126,20474,15579,166532.0,60105.0,1284082.0,0.47399713936269,0.583280359310956,0.6307225856931205
2016-09,88,3207,3591,131882.0,46785.0,927008.0,0.7229115003435316,0.8486758072925082,0.6049401941153454
2016-10,70,8461,7382,61225.0,18968.0,417434.0,0.5386522295640372,0.5390393458791805,0.8445532435740514
2016-11,170,56491,18688,359322.0,127229.0,2619227.0,0.5137010287446957,0.6478763432245587,0.7087545691733007
2016-12,116,19192,18941,216091.0,77235.0,1591905.0,0.6102868541899011,0.7339517356669947,0.6662100924819695
2017-01,82,15559,14252,93042.0,30836.0,662686.0,0.5692041762103821,0.6183605604251311,0.7251298618811379
2017-02,112,55828,32885,205527.0,73163.0,1496567.0,0.59597196250859,0.7279321733168138,0.7085839896228411
2017-03,108,7262,4644,296887.0,104105.0,2096617.0,0.4522438487598802,0.6536788268798095,0.8142638517968565
2017-04,106,16675,16985,135879.0,44384.0,941306.0,0.6213128164138212,0.7291736555797469,0.6817875764542696
2017-05,83,3954,1787,170392.0,58232.0,1201916.0,0.5266653259368915,0.6650335663673621,0.7203891759128266
2017-06,50,2451,1048,21245.0,2988.0,114172.0,0.5541029740351295,0.7792270531400965,0.9555555555555556
2017-07,56,22214,8966,178606.0,63060.0,1312482.0,0.5207612587214184,0.7330348939663902,0.8711255617847643
2017-08,25,2923,775,19656.0,4231.0,106093.0,0.5426308755947341,0.8308354353790822,0.8749318168188719
2017-09,76,20687,8533,142104.0,48886.0,1004554.0,0.7025369413776751,0.6180402333923914,0.678935157972395
2017-10,106,22359,18945,249981.0,83525.0,1792880.0,0.6339806342996483,0.7441638169157762,0.6258005593011342
